amplification.batch	tier	treatment	sequencing.batch.unique.ID	mouse.specimen.unique.ID	analyzed.cells	reads	mapped.reads	UMI	noise.estimation	virus.mix	cytokines	notes	sort.batch	sort.plate
AB1000	3	Epo	SB57	116	97	93473	19389	1345	0.02	-			35	13
AB1001	3	Epo (control)	SB57	117	136	92983	14670	1574	0.02	-			35	15
AB1002	3	Epo (control)	SB57	117	119	94891	16231	1235	0.02	-			35	15
AB1003	3	G-CSF (control)	SB57	118	111	92554	19385	1157	0.04	-			35	16
AB1004	3	G-CSF (control)	SB57	118	98	96608	20967	1112	0.02	-			35	16
AB1005	7	G-CSF	SB57	113-4	144	95237	17543	882	0.04	-			35	18
AB1006	7	G-CSF	SB57	113-4	129	116645	22448	843	0.02	-			35	18
AB1009	7	Epo	SB57	115-6	103	108480	24740	1630	0.11	-			35	20
AB1010	7	Epo	SB57	115-6	72	105273	24209	977	0.08	-			35	20
AB1083	3	-	SB61	129	0	77471	10274	478	0.066	-			39	4
AB1084	3	-	SB61	129	0	69819	10511	507	0.032	-			39	4
AB1085	3	-	SB61	129	0	90047	14623	701	0.048	-			39	5
AB1086	3	-	SB61	129	0	63830	12390	495	0.054	-			39	5
AB1087	3	-	SB61	129	0	101113	13416	1495	0.054	-			39	7
AB1088	3	-	SB61	129	0	91220	15034	1255	0.023	-			39	7
AB1089	5	-	SB61	129	48	80415	8719	474	0.09	-			39	2
AB1090	5	-	SB61	129	42	79988	9681	494	0.04	-			39	2
AB1091	5	-	SB61	129	30	91894	8068	391	0.09	-			39	3
AB1092	5	-	SB61	129	33	73051	7277	398	0.06	-			39	3
AB1154	5	-	SB65	130	83	61534	10135	1273	0.06	-			40	2
AB1155	5	-	SB65	130	94	55691	9938	1442	NA	-			40	2
AB1156	5	-	SB65	130	75	59231	7492	1356	0.03	-			40	5
AB1157	5	-	SB65	130	82	60943	7294	1157	NA	-			40	5
AB1158	5	-	SB65	130	68	55200	8077	1418	0.04	-			40	7
AB1159	5	-	SB65	130	78	52166	9551	1709	0.03	-			40	7
AB1160	5	-	SB65	130	66	63408	9076	1680	0.04	-			40	9
AB1161	5	-	SB65	130	72	52885	8153	1299	0.03	-			40	9
AB1162	5	-	SB65	130	64	61447	9930	1696	0.06	-			40	10
AB1163	5	-	SB65	130	78	58278	10665	1494	0.05	-			40	10
AB1187	5	-	SB67	FP1	104	114347	16392	1733	0.03	-			42	3
AB1188	5	-	SB67	FP1	104	101873	14519	1467	0.02	-			42	3
AB1189	5	-	SB67	FP1	102	115329	17548	2127	0.03	-			42	4
AB1190	5	-	SB67	FP1	112	97215	15625	1894	0.03	-			42	4
AB1191	5	-	SB67	FP1	104	98397	15344	1826	0.02	-			42	7
AB1192	5	-	SB67	FP1	112	95486	13372	1501	0.02	-			42	7
AB1265	5	-	SB71	FP1	108	111316	16523	1878	0.02	-			42	5
AB1266	5	-	SB71	FP1	112	116858	15923	1927	0.04	-			42	5
AB1267	5	-	SB71	FP1	110	117750	19723	2013	0.05	-			42	6
AB1268	5	-	SB71	FP1	117	119434	17381	1815	0.03	-			42	6
AB1269	5	-	SB71	FP1	109	127183	14515	1878	0.09	-			42	8
AB1270	5	-	SB71	FP1	109	115715	15441	1541	0.03	-			42	8
AB1271	6	-	SB71	FP6	182	91893	14537	1578	0.03	-			45	2
AB1272	6	-	SB71	FP6	182	103920	13724	1670	0.02	-			45	2
AB1273	6	-	SB71	FP6	174	94114	16311	1576	0.03	-			45	3
AB1274	6	-	SB71	FP6	180	91124	16773	1568	0.03	-			45	3
AB1275	6	-	SB71	FP6	177	100459	16189	1958	0.03	-			45	4
AB1276	6	-	SB71	FP6	178	94327	13877	1666	0.05	-			45	4
AB1277	6	-	SB71	FP6	175	77788	15416	1516	0.06	-			45	5
AB1278	6	-	SB71	FP6	174	77514	14972	1344	0.03	-			45	5
AB1279	6	-	SB71	FP6	177	96225	15350	1861	0.02	-			45	6
AB1280	6	-	SB71	FP6	184	98018	14032	1653	0.03	-			45	6
AB1281	6	-	SB71	FP6	184	95281	18931	1625	0.03	-			45	7
AB1282	6	-	SB71	FP6	181	81468	16504	1611	0.02	-			45	7
AB1321	3	Epo	SB73	FP11	148	86277	19157	3234	0.01	-			49	2
AB1322	3	Epo	SB73	FP11	128	95400	21477	2778	0.01	-			49	2
AB1333	7	Epo	SB73	FP11	138	94281	17621	2449	0.02	-			49	6
AB1334	7	Epo	SB73	FP11	116	87629	14603	1327	0.02	-			49	6
AB1335	3	Epo (control)	SB73	FP12	119	85262	15329	2515	0.01	-			49	7
AB1336	3	Epo (control)	SB73	FP12	108	78681	13591	1822	0.01	-			49	7
AB1500	4	-	SB82	FP52	67	135028	16911	1340	0.02	-			52	2
AB1501	4	-	SB82	FP52	57	158540	12127	1728	0.01	-			52	2
AB1502	4	-	SB82	FP52	60	133188	18395	1545	0.03	-			52	3
AB1503	4	-	SB82	FP52	60	109375	17892	1097	0.03	-			52	3
AB1504	4	-	SB82	FP52	60	145822	17285	1505	0.03	-			52	4
AB1505	4	-	SB82	FP52	65	122257	15732	1254	0.01	-			52	4
AB1506	4	-	SB82	FP52	60	130949	21947	1453	0.04	-			52	5
AB1507	4	-	SB82	FP52	64	112739	18766	1345	0.05	-			52	5
AB1508	4	-	SB82	FP52	59	117215	17810	1376	0.02	-			52	6
AB1509	4	-	SB82	FP52	46	65222	8753	1155	0.02	-			52	6
AB1510	4	-	SB82	FP52	53	73563	7587	1615	0.01	-			52	7
AB1511	4	-	SB82	FP52	45	60024	10135	1328	0.01	-			52	7
AB1512	4	-	SB82	FP52	48	125875	12757	1314	0.03	-			52	9
AB1513	4	-	SB82	FP52	61	56063	6692	1342	0.01	-			52	9
AB1514	4	-	SB82	FP52	54	60715	7829	1403	0.04	-			52	10
AB1515	4	-	SB82	FP52	49	55255	8542	1414	0.01	-			52	10
AB2483	3	CRISPR	SB129	FP64A	NA	NA	NA	NA	NA	mix 1			64	2
AB2484	3	CRISPR	SB129	FP64B	NA	NA	NA	NA	NA	mix 1			64	3
AB2485	3	CRISPR	SB129	FP64C	NA	NA	NA	NA	NA	mix 1			64	5
AB2486	3	CRISPR	SB129	FP64D	NA	NA	NA	NA	NA	mix 1			64	7
