gene	module	length	annotation
1190002H23Rik	2	127	all
1500032L24Rik	2	127	all
1810033B17Rik	2	127	all
4632428N05Rik	2	127	all
6430548M08Rik	2	127	all
AA467197;Mir147	2	127	all
AK081788;Aldh3b1	2	127	all
AK169831	2	127	all
Acsl1	2	127	all
Actb	2	127	all
Actn1	2	127	all
Adssl1	2	127	all
Aldoa	2	127	all
Alox5	2	127	all
Anxa2	2	127	all
Anxa5	2	127	all
App	2	127	all
Aprt;aprt	2	127	all
Arhgdia	2	127	all
Arhgdib	2	127	all
Arid3a	2	127	all
Arpc1b	2	127	all
Arrb2	2	127	all
B4galt6	2	127	all
Calm1	2	127	all
Camk1d	2	127	all
Cap1	2	127	all
Capns1	2	127	all
Capzb	2	127	all
Cd52	2	127	all
Cd63	2	127	all
Cd9	2	127	all
Cdcrel-1;Gp1bb;Sept5	2	127	all
Cdk2ap2	2	127	all
Cfl1	2	127	all
Chd7	2	127	all
Clec5a;Mdl1	2	127	all
Cnn2	2	127	all
Coro1a	2	127	all
Crispld2	2	127	all
Csf3r	2	127	all
Cyba;AK154184	2	127	all
Dgat;Dgat1	2	127	all
Dhrs7	2	127	all
Dmkn	2	127	all
Dstn	2	127	all
Efhd2	2	127	all
Emp3	2	127	all
Fcer1g	2	127	all
Fcgr3	2	127	all
Fes	2	127	all
Ffar2	2	127	all
G6pdx	2	127	all
Gnai2	2	127	all
Gpc1	2	127	all
Gpi1	2	127	all
Gpr84	2	127	all
Gpsm3	2	127	all
Gsr	2	127	all
Hck	2	127	all
Hdc	2	127	all
Igsf6	2	127	all
Itgb2	2	127	all
Kiaa0028;Lars2	2	127	all
Klf5	2	127	all
Lbp	2	127	all
Lcp1	2	127	all
Lilrb3;Pira1;Gm14548;Pira11;Pira2;Pira4;Pira7;Lilra6;Pirb	2	127	all
Lin28a	2	127	all
Lmo4	2	127	all
Lrrc58	2	127	all
Lta4h	2	127	all
Ltb4r1	2	127	all
Ly75	2	127	all
Man2b1	2	127	all
Mapk13	2	127	all
Mogat2	2	127	all
Mxd1	2	127	all
Myh9	2	127	all
Myl12b	2	127	all
Myo1f	2	127	all
Myo5b;Myo5a	2	127	all
Napsa	2	127	all
Ncam1	2	127	all
Ncf4	2	127	all
Ndufv3	2	127	all
Nfam1	2	127	all
Nhsl2	2	127	all
Nxn	2	127	all
Olfml2b	2	127	all
Orm1	2	127	all
Padi4	2	127	all
Pfn1	2	127	all
Pgd	2	127	all
Pkm2	2	127	all
Plaur	2	127	all
Ptpn6	2	127	all
Pygl	2	127	all
Rab27a	2	127	all
Rab32	2	127	all
Rac2	2	127	all
Rhog	2	127	all
Rhou	2	127	all
Rnpep	2	127	all
Rogdi	2	127	all
Rps6ka1	2	127	all
Sepx1	2	127	all
Sfpi1	2	127	all
Sh3bgrl3	2	127	all
Slfn2	2	127	all
Sorl1	2	127	all
Sort1	2	127	all
St3gal5	2	127	all
Sun2	2	127	all
Syne1	2	127	all
Tagln2	2	127	all
Taldo1	2	127	all
Tkt	2	127	all
Tmbim6	2	127	all
Tnnt1	2	127	all
Trem3	2	127	all
Trp53inp2	2	127	all
Tyrobp	2	127	all
Vasp	2	127	all
Xdh	2	127	all
Zfp414;Pram1	2	127	all
Zyx	2	127	all
1700048O20Rik	3	123	B
2010300C02Rik	3	123	B
2210013O21Rik	3	123	B
2900026A02Rik	3	123	B
AK007907;AK079377	3	123	B
AK079675	3	123	B
AK165607	3	123	B
Ablim1;AK041356;AK165766	3	123	B
Acss1	3	123	B
Aff3	3	123	B
Agpat9	3	123	B
Amigo1	3	123	B
Arpp21	3	123	B
Art4	3	123	B
Atg16l2	3	123	B
Atp1b1	3	123	B
B9d2	3	123	B
BC030307;Gnn;Nt5dc3	3	123	B
Bach2	3	123	B
Bcr	3	123	B
Bin1	3	123	B
Bst1	3	123	B
Btbd10	3	123	B
Camk2b	3	123	B
Camk2d;Camk2g;mKIAA4163	3	123	B
Cat	3	123	B
Ccm2;AK040177	3	123	B
Cd37	3	123	B
Cd72	3	123	B
Cdc25b	3	123	B
Cep250	3	123	B
Chd2	3	123	B
Cox7a2l	3	123	B
Crhbp	3	123	B
Csgalnact1	3	123	B
Csrnp1	3	123	B
Cxcr5	3	123	B
Cxxc5	3	123	B
Cyp4f18	3	123	B
Cyth1;CLM1-A	3	123	B
Ddt	3	123	B
Dlg2	3	123	B
Edaradd	3	123	B
Eps8l2	3	123	B
FKBP12-T1;Fkbp1a	3	123	B
Fbxl12	3	123	B
Fcrl6	3	123	B
Foxj1;Rnf157	3	123	B
Foxp1	3	123	B
Frmd6	3	123	B
Gchfr	3	123	B
Gimap1	3	123	B
Gm4759	3	123	B
Gmfg	3	123	B
Grb7	3	123	B
Gstt2	3	123	B
H2-Ob	3	123	B
Heyl	3	123	B
ISG12a;Ifi27l1	3	123	B
Il16;mKIAA4048	3	123	B
Inpp5d;Ship	3	123	B
Irf4	3	123	B
Klhl6	3	123	B
Lgals9	3	123	B
Lhpp	3	123	B
Lig4	3	123	B
Litaf	3	123	B
Lxn	3	123	B
Malat1	3	123	B
Mfsd4	3	123	B
Mobkl3;AK165532	3	123	B
Msh5	3	123	B
Mtss1;mKIAA0429	3	123	B
Myo7a	3	123	B
N4bp3	3	123	B
Nedd9	3	123	B
Nfkbie	3	123	B
Ninj1	3	123	B
Nudt2	3	123	B
Pcp4l1	3	123	B
Pde4b	3	123	B
Phldb3	3	123	B
Pik3cd	3	123	B
Plcg1;AK169777	3	123	B
Plxdc1	3	123	B
Pmf1	3	123	B
Pnrc1	3	123	B
Pold4	3	123	B
Prkd2	3	123	B
Ptgr1	3	123	B
Rab11a	3	123	B
Rabgap1l;mKIAA0471	3	123	B
Rasgrp2	3	123	B
Rnf169	3	123	B
Rptor;raptor	3	123	B
Selm	3	123	B
Sepp1	3	123	B
Sgk1	3	123	B
Sh3bp5	3	123	B
Sigirr	3	123	B
Siglecg	3	123	B
Sit1	3	123	B
Slamf6	3	123	B
Slamf7	3	123	B
Slc30a5	3	123	B
Smtnl2	3	123	B
Socs2	3	123	B
Srp14	3	123	B
Steap4	3	123	B
Tbc1d10c	3	123	B
Tbxa2r	3	123	B
Tcf3	3	123	B
Tctn2	3	123	B
Tmem108	3	123	B
Tnfrsf13c	3	123	B
Ttll11;DQ699740	3	123	B
Tubb2b	3	123	B
Txnip	3	123	B
Ubac2	3	123	B
Uchl1	3	123	B
Wdfy4	3	123	B
Ypel3	3	123	B
Zcchc11;mKIAA0191	3	123	B
2700094K13Rik	6	97	CC
2810417H13Rik	6	97	CC
AK012387	6	97	CC
AK088743;D17H6S56E-5	6	97	CC
Anapc5	6	97	CC
Anp32e	6	97	CC
Apobec3	6	97	CC
Arl6ip1	6	97	CC
Asf1b	6	97	CC
Asp;Aspm	6	97	CC
Atad2	6	97	CC
Aurka	6	97	CC
Bdp1;mKIAA1241	6	97	CC
Birc5	6	97	CC
Bub1b	6	97	CC
Bub3	6	97	CC
Calm2	6	97	CC
Ccnb2	6	97	CC
Cdc20	6	97	CC
Cdca3	6	97	CC
Cdca8	6	97	CC
Cdk1	6	97	CC
Cdkn3	6	97	CC
Cenp-a;Cenpa	6	97	CC
Cenpe	6	97	CC
Cenpf	6	97	CC
Cenpm	6	97	CC
Cep55	6	97	CC
Cit	6	97	CC
Ckap2	6	97	CC
Ckap2l	6	97	CC
Ckap5;mKIAA0097	6	97	CC
Clspn	6	97	CC
Ctcf	6	97	CC
D2Ertd750e;Gm14090	6	97	CC
Dctn5;Plk1	6	97	CC
Dek	6	97	CC
Dlgap5;mKIAA0008	6	97	CC
Dnajc9	6	97	CC
Dnmt1	6	97	CC
Dut;Dutp	6	97	CC
Dyrk1a	6	97	CC
Ect2	6	97	CC
Esco2	6	97	CC
Ezh2	6	97	CC
Fam64a	6	97	CC
Fyr;Fzr1	6	97	CC
H2afv;H2afz	6	97	CC
H2afx	6	97	CC
H3f3a;H3f3b	6	97	CC
Hist1h4c	6	97	CC
Hist2h2bb	6	97	CC
Hmgb2	6	97	CC
Hmmr;IHABP	6	97	CC
Hn1	6	97	CC
Incenp	6	97	CC
Iqgap3	6	97	CC
Kif11	6	97	CC
Kif22	6	97	CC
Lbr	6	97	CC
Lig1	6	97	CC
Lmnb1;AK079263	6	97	CC
Mcm5	6	97	CC
Mcm6	6	97	CC
Mki67	6	97	CC
Ncapg2;Mtb	6	97	CC
Ndc80	6	97	CC
Nde1	6	97	CC
Nucks1	6	97	CC
Nusap1	6	97	CC
Pcna	6	97	CC
Prc1	6	97	CC
Ptma	6	97	CC
Racgap1	6	97	CC
Rad21	6	97	CC
Rrm2	6	97	CC
SMC4;Smc4	6	97	CC
Sephs1	6	97	CC
Smc2	6	97	CC
Snrnp27	6	97	CC
Spc24	6	97	CC
Spc25	6	97	CC
Stmn1	6	97	CC
Strbp	6	97	CC
Tacc3	6	97	CC
Tcf19	6	97	CC
Tk1	6	97	CC
Tmpo	6	97	CC
Top2a	6	97	CC
Tpx2	6	97	CC
Tuba1b	6	97	CC
Tuba1c	6	97	CC
Tubb5	6	97	CC
Ubb;AK183279;Uba52;Ubc	6	97	CC
Ube2c	6	97	CC
Whsc1;mKIAA1090	6	97	CC
hnRNP A2/B1;Hnrnpa2b1	6	97	CC
5031414D18Rik	8	72	
Anxa6	8	72	
Atp2a1	8	72	
Atrip;Trex1;6620401K05Rik	8	72	
Bst2	8	72	
Card11	8	72	
Ccr9	8	72	
Coro2a	8	72	
Cox6a2	8	72	
Crip1	8	72	
Cst3	8	72	
Ctsh	8	72	
Ctsl	8	72	
Cyth4;mFLJ00017	8	72	
Ddr1	8	72	
Ent3;Slc29a3	8	72	
Fgd2	8	72	
Flt3	8	72	
Fxyd5	8	72	
Gm2a	8	72	
Gng10	8	72	
Gng2	8	72	
Grn	8	72	
H2-DMa	8	72	
H2afy	8	72	
Ifi30	8	72	
Ifnar2	8	72	
Il6ra	8	72	
Inpp5a	8	72	
Irf8	8	72	
Itgb7	8	72	
Klk1	8	72	
Lag3	8	72	
Laptm5;AK171116	8	72	
Lgals1	8	72	
Ly6d	8	72	
Ly6e	8	72	
Ly86	8	72	
Mpeg1	8	72	
Nfkb1	8	72	
Nsg2	8	72	
Pdzd4	8	72	
Pld4	8	72	
Plekhm3	8	72	
Pltp	8	72	
Ppfia4;mKIAA0897	8	72	
Prr5	8	72	
Psap	8	72	
Psmb8	8	72	
Psmb9	8	72	
Ptms	8	72	
Ptpn18	8	72	
Ramp1	8	72	
Rnase6	8	72	
Runx2;Runx3	8	72	
S100a10	8	72	
Sc4mol	8	72	
Scpep1	8	72	
Sdc1	8	72	
Sell	8	72	
Selplg	8	72	
Sema4d	8	72	
Siglech	8	72	
Slc41a2	8	72	
St8sia4;ST8SiaIV	8	72	
Tcf4	8	72	
Tifab	8	72	
Tmem229b	8	72	
Tmsb10	8	72	
Tpm4	8	72	
Upb1	8	72	
Vim	8	72	
2210023G05Rik;Ces2g	5	63	
5730469M10Rik	5	63	
A430005L14Rik	5	63	
Abcb4	5	63	
Abcb6	5	63	
Alas2	5	63	
Aldh1a1	5	63	
Aplp2	5	63	
Apol11b	5	63	
Asap1;Shag1	5	63	
Asns	5	63	
Bpgm	5	63	
Cd82	5	63	
Chac2	5	63	
Cited4	5	63	
Cox17	5	63	
Cox6b2	5	63	
Dap3	5	63	
Dnajb2	5	63	
Epb4.1	5	63	
Fam132a	5	63	
Fn3k	5	63	
Gclm	5	63	
Grina	5	63	
Gstm5	5	63	
Gypc	5	63	
Hba-x	5	63	
Josd2	5	63	
Mar-08	5	63	
Metap2	5	63	
Mir144	5	63	
Mkrn1	5	63	
Mns1	5	63	
Mrpl52	5	63	
Mt1	5	63	
Mt2	5	63	
Mthfd1	5	63	
Myo18a	5	63	
Ndufv1	5	63	
Nfia	5	63	
Npm2;Xpo7	5	63	
Nudt9	5	63	
Pdzk1ip1	5	63	
Pla2g12a	5	63	
Ppp1r15a	5	63	
Prss50	5	63	
Psmf1	5	63	
Rab4a	5	63	
Rfc3	5	63	
Rgs10	5	63	
Rhag	5	63	
Slc14a1	5	63	
Slc38a5	5	63	
Sphk1	5	63	
Stom	5	63	
Tmcc2	5	63	
Tmod1	5	63	
Tpm1	5	63	
Ttll12	5	63	
Xpnpep1	5	63	
Zcchc6	5	63	
Zfp39	5	63	
Zfpm1	5	63	
2010001M09Rik	4	61	
AK156292;V00821;AI324046;Ighg1;AK135975;Igh;Ighg;J00476;Igh-A (1g2);Gm16844;AK036494;M34473;abParts;M13680;M12570;V00757;M36767;X73024	4	61	
Akap12	4	61	
Arntl;bmal1b	4	61	
Arpc5l	4	61	
Atp1b3	4	61	
Bcl7a	4	61	
Bfsp2	4	61	
Blnk	4	61	
Cd19	4	61	
Cd79a	4	61	
Cd79b	4	61	
Chchd10	4	61	
Chst3	4	61	
Cnp	4	61	
Commd1;B3gnt2	4	61	
Cplx2	4	61	
Dck	4	61	
Dnajc7;mDj11	4	61	
Dntt	4	61	
Ebf1;Ebf4;Ebf3;O/E-4S	4	61	
Elk4	4	61	
Elof1	4	61	
Ets1	4	61	
Fam129c;Pgls	4	61	
Fam53b	4	61	
Fcrla	4	61	
Foxo1	4	61	
Gfra2	4	61	
Hes1	4	61	
Id3	4	61	
Ifi27l2a	4	61	
Igll1	4	61	
Impdh1	4	61	
Lef1	4	61	
Myl4	4	61	
Pafah1b3	4	61	
Pde2a	4	61	
Pkig	4	61	
Pou2af1	4	61	
Ppp1r16b	4	61	
Prep	4	61	
Ptp4a3	4	61	
Ptprcap	4	61	
Rag1;B230118H07Rik	4	61	
Rcsd1;AK020768	4	61	
Sbk1	4	61	
Sdc4	4	61	
Serinc3	4	61	
Smarca4	4	61	
Snx2	4	61	
Spib	4	61	
Stambpl1	4	61	
Tifa	4	61	
Trp53i11	4	61	
Tspan13	4	61	
Ucp2	4	61	
Vpreb1	4	61	
Vpreb2	4	61	
Vpreb3	4	61	
Xrcc6	4	61	
Atp5j	20	39	Ribo
Atp5j2;AK164124	20	39	Ribo
Atp5k	20	39	Ribo
BC033430;Hnrnpu;AK049600	20	39	Ribo
BC035044	20	39	Ribo
Cct2	20	39	Ribo
Cct3	20	39	Ribo
Cct5	20	39	Ribo
Cct6a	20	39	Ribo
Cd93	20	39	Ribo
Cox6b1	20	39	Ribo
Cox6c	20	39	Ribo
Cox7a2	20	39	Ribo
Cox7b	20	39	Ribo
Csde1;mKIAA0885	20	39	Ribo
Dbi	20	39	Ribo
Dhfr	20	39	Ribo
Dkc1	20	39	Ribo
Elf1	20	39	Ribo
Hprt	20	39	Ribo
Hsp90aa1	20	39	Ribo
MRPL33;Mrpl33	20	39	Ribo
Matr3	20	39	Ribo
Mdh1	20	39	Ribo
Mrpl35	20	39	Ribo
Mrpl42	20	39	Ribo
Mrps18c	20	39	Ribo
Ndufa3	20	39	Ribo
Ndufa5	20	39	Ribo
Ndufs4	20	39	Ribo
